"RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
315,6.9325,-2.8171065992198
315,6.94,2.44964000516763
315,6.9475,1.45305630956771
315,6.955,0.547143306439586
315,6.9625,-0.489901345666835
315,6.97,-1.49429015688913
315,6.9775,-2.16700992065256
315,6.985,-2.90996156503182
315,6.9925,2.93482299379212
315,7,2.27435867940526
315,7.0075,1.29163932439385
315,7.015,0.393580405204441
315,7.0225,-0.56586282923764
315,7.03,-1.54080251886861
315,7.0375,-2.35528109440224
315,7.045,3.05621874270914
315,7.0525,2.15649774574965
315,7.06,1.23042487838856
315,7.0675,0.26205871282798
315,7.075,-0.651884669538506
315,7.0825,-1.60599166208747
315,7.09,-2.59970806153041
315,7.0975,2.68095674166325
315,7.105,1.6581151837632
315,7.1125,0.624114312462124
315,7.12,-0.360014914586797
315,7.1275,-1.34895593516402
315,7.135,-2.35112602249723
315,7.1425,2.98258019551397
315,7.15,1.96691737495275
315,7.1575,0.959060290554445
315,7.165,0.0559035777448111
315,7.1725,-0.867519213919308
315,7.18,-1.82671362801712
315,7.1875,-2.73215440596582
315,7.195,2.74764515110801
315,7.2025,1.85016271431909
315,7.21,1.19417492419767
315,7.2175,0.486517826556498
315,7.225,-0.483090143624645
